timestamp,transactionID,userID,merchantID,amount,fraud_probability,predicted_fraud,actual_fraud,high_confidence
2025-10-03T14:32:37.947689,,,,0.0,0.9425148963928223,True,False,True
2025-10-03T14:32:37.950760,1884,10,M743,152.51,1.2836839857754967e-07,False,False,False
2025-10-03T14:32:37.951781,1885,12,M235,94.81,1.8088073261424142e-07,False,False,False
2025-10-03T14:32:37.952785,1886,14,M417,97.96,1.9762603642448084e-06,False,False,False
2025-10-03T14:32:37.954875,1887,2,M630,559.52,3.949805815750551e-08,False,False,False
2025-10-03T14:32:37.955875,1888,22,M914,506.68,1.965700676009874e-06,False,False,False
2025-10-03T14:32:37.956874,1889,14,M915,168.0,0.9548150897026062,True,True,True
2025-10-03T14:32:37.959876,1890,17,M847,228.35,5.4637798285739336e-08,False,False,False
2025-10-03T14:32:37.961471,1891,9,M219,130.71,1.6088172571926407e-07,False,False,False
2025-10-03T14:32:37.963306,1892,7,M714,258.73,4.670762621117319e-08,False,False,False
2025-10-03T14:32:37.964307,1893,3,M915,42.76,6.074192242522258e-07,False,False,False
2025-10-03T14:32:37.965306,1894,10,M864,150.77,1.170570058661724e-07,False,False,False
2025-10-03T14:32:37.967304,1895,8,M367,19.13,3.20771711415091e-08,False,False,False
2025-10-03T14:32:37.968305,1896,2,M765,623.16,3.5977521406493906e-08,False,False,False
2025-10-03T14:32:37.969211,1897,4,M937,459.21,0.5734208226203918,False,False,False
2025-10-03T14:32:37.972671,1898,10,M670,241.3,4.085451266178097e-08,False,False,False
2025-10-03T14:32:37.984851,1899,18,M269,4.76,6.556472698093785e-08,False,False,False
2025-10-03T14:32:37.995784,1900,16,M197,49.09,2.8490555337157275e-07,False,False,False
2025-10-03T14:32:38.005953,1901,7,M685,258.17,4.2793203647306655e-08,False,False,False
2025-10-03T14:32:38.014901,1902,21,M422,304.44,3.780998625302345e-08,False,False,False
2025-10-03T14:32:38.025307,1903,13,M237,72.74,1.953059654624667e-05,False,False,False
2025-10-03T14:32:38.038086,1904,8,M958,15.73,6.6236129896424245e-06,False,False,False
2025-10-03T14:32:38.046754,1905,23,M561,25.6,1.0789239013320184e-07,False,False,False
2025-10-03T14:32:38.057434,1906,19,M834,500.0,2.798032472384193e-09,False,False,False
2025-10-03T14:32:38.068499,1907,11,M583,18.89,1.1015285394933017e-07,False,False,False
2025-10-03T14:32:38.080093,1908,22,M512,547.58,4.323871038991456e-08,False,False,False
2025-10-03T14:32:38.090677,1909,25,M451,103.44,3.672696209378046e-07,False,False,False
2025-10-03T14:32:38.101444,1910,7,M509,231.85,6.706004995749026e-08,False,False,False
2025-10-03T14:32:38.111515,1911,23,M511,28.14,8.33527380450505e-08,False,False,False
2025-10-03T14:32:38.121506,1912,15,M441,73.38,3.0610410703957314e-06,False,False,False
2025-10-03T14:32:38.133566,1913,6,M758,181.62,6.971239940867235e-08,False,False,False
2025-10-03T14:32:38.141604,1914,17,M537,269.43,4.386302876469017e-08,False,False,False
2025-10-03T14:32:38.153847,1915,24,M192,29.87,3.5869652492692694e-07,False,False,False
2025-10-03T14:32:38.164103,1916,5,M266,117.91,2.961986638183589e-07,False,False,False
2025-10-03T14:32:38.174136,1917,16,M879,51.9,2.0299299308135232e-07,False,False,False
2025-10-03T14:32:38.185061,1918,24,M627,31.59,3.822596283953317e-07,False,False,False
2025-10-03T14:32:38.195433,1919,24,M116,5.0,7.345681183323904e-07,False,False,False
2025-10-03T14:32:38.204623,1920,24,M698,325.38,1.7020916857291013e-05,False,False,False
2025-10-03T14:32:38.215182,1921,11,M809,18.02,1.2335512167283014e-07,False,False,False
2025-10-03T14:32:38.225961,1922,18,M560,2.41,3.097369187798904e-07,False,False,False
2025-10-03T14:32:38.238128,1923,24,M657,55.72,5.336473236638994e-07,False,False,False
2025-10-03T14:32:38.248815,1924,8,M711,18.98,3.133763115670263e-08,False,False,False
2025-10-03T14:32:38.257454,1925,12,M496,42.31,6.638953209403553e-07,False,False,False
2025-10-03T14:32:38.268843,1926,25,M854,105.12,4.3296770968481724e-07,False,False,False
2025-10-03T14:32:38.279931,1927,4,M121,35.13,3.467824285507959e-07,False,False,False
2025-10-03T14:32:38.290039,1928,17,M491,245.36,2.957856359842026e-08,False,False,False
2025-10-03T14:32:38.300983,1929,3,M170,22.47,1.1498640617446654e-07,False,False,False
2025-10-03T14:32:38.311767,1930,24,M473,6.22,6.325963113340549e-07,False,False,False
2025-10-03T14:32:38.321615,1931,2,M270,528.79,5.0129475681615077e-08,False,False,False
2025-10-03T14:32:38.332727,1932,1,M957,370.36,2.2548734705196694e-05,False,False,False
2025-10-03T14:32:38.343249,1933,14,M556,64.16,4.818059096578509e-06,False,False,False
2025-10-03T14:32:38.353321,1934,24,M492,45.76,7.385677918136935e-07,False,False,False
2025-10-03T14:32:38.364641,1935,15,M146,108.61,2.3819541183911497e-06,False,False,False
2025-10-03T14:32:38.373647,1936,12,M352,56.39,3.8886670949977997e-07,False,False,False
2025-10-03T14:32:38.384427,1937,8,M974,13.98,4.085349701199448e-06,False,False,False
2025-10-03T14:32:38.396701,1938,20,M456,425.32,1.6201815924432594e-06,False,False,False
2025-10-03T14:32:38.407295,1939,7,M305,237.68,5.516072576483566e-08,False,False,False
2025-10-03T14:32:38.418031,1940,25,M423,113.88,4.0136984580385615e-07,False,False,False
2025-10-03T14:32:38.428928,1941,24,M599,28.03,3.937794019748253e-07,False,False,False
2025-10-03T14:32:38.439115,1942,5,M913,60.56,0.00036870245821774006,False,False,False
2025-10-03T14:32:38.450421,1943,25,M492,101.11,4.3822683437610976e-07,False,False,False
2025-10-03T14:32:38.458600,1944,1,M489,337.35,5.916707479514116e-08,False,False,False
2025-10-03T14:32:38.470627,1945,13,M862,66.87,2.201006827817764e-05,False,False,False
2025-10-03T14:32:38.480853,1946,14,M689,125.39,2.579984993644757e-06,False,False,False
2025-10-03T14:32:38.490786,1947,22,M716,530.43,3.784743185519801e-08,False,False,False
2025-10-03T14:32:38.501715,1948,20,M298,325.42,6.296645693737446e-08,False,False,False
2025-10-03T14:32:38.512814,1949,20,M522,5.0,7.630989102835883e-07,False,False,False
2025-10-03T14:32:38.522474,1950,19,M611,1398.01,7.641072562007689e-13,False,False,False
2025-10-03T14:32:38.533365,1951,23,M699,33.37,2.9338025342440233e-08,False,False,False
2025-10-03T14:32:38.543779,1952,16,M964,54.3,5.0652120080485474e-06,False,False,False
2025-10-03T14:32:38.554296,1953,22,M359,579.52,2.961632716846907e-08,False,False,False
2025-10-03T14:32:38.563621,1954,4,M866,61.29,5.056829195382306e-07,False,False,False
2025-10-03T14:32:38.573739,1955,5,M497,75.4,3.2520136983293924e-07,False,False,False
2025-10-03T14:32:38.584341,1956,17,M545,239.81,4.097133654568097e-08,False,False,False
2025-10-03T14:32:38.595694,1957,5,M978,66.91,0.0007683822768740356,False,False,False
2025-10-03T14:32:38.605963,1958,18,M893,8.89,2.160907008885715e-09,False,False,False
2025-10-03T14:32:38.616708,1959,23,M156,27.26,5.479067866076548e-08,False,False,False
2025-10-03T14:32:38.626918,1960,21,M129,355.36,5.1018741231700915e-08,False,False,False
2025-10-03T14:32:38.637238,1961,13,M152,75.25,3.7490830436581746e-05,False,False,False
2025-10-03T14:32:38.648252,1962,13,M912,52.53,0.9805893898010254,True,True,True
2025-10-03T14:32:38.658749,1963,4,M429,40.9,7.848453265069111e-07,False,False,False
2025-10-03T14:32:38.667722,1964,24,M726,42.03,7.368454930656299e-07,False,False,False
2025-10-03T14:32:38.679212,1965,8,M484,23.4,1.2079405919962483e-08,False,False,False
2025-10-03T14:32:38.690819,1966,11,M345,28.14,2.3532210846610724e-08,False,False,False
2025-10-03T14:32:38.702751,1967,11,M250,22.02,8.842172860568098e-08,False,False,False
2025-10-03T14:32:38.711837,1968,5,M582,90.85,2.442640720801137e-07,False,False,False
2025-10-03T14:32:38.721864,1969,15,M920,266.36,0.9951491951942444,True,True,True
2025-10-03T14:32:38.732722,1970,20,M343,146.32,1.782901932756431e-07,False,False,False
2025-10-03T14:32:38.744025,1971,2,M503,448.5,5.4518707770512265e-08,False,False,False
2025-10-03T14:32:38.753075,1972,10,M727,204.65,5.8772403832563214e-08,False,False,False
2025-10-03T14:32:38.763472,1973,3,M159,19.76,1.4706733963976149e-07,False,False,False
2025-10-03T14:32:38.773619,1974,8,M274,14.81,1.2601573473602912e-07,False,False,False
2025-10-03T14:32:38.786397,1975,25,M903,75.13,0.003652814542874694,False,False,False
2025-10-03T14:32:38.796471,1976,5,M398,67.31,4.10595447419837e-07,False,False,False
